No,Category,Job,What is,what does,Responsibilities description,Job brief,Responsibilities,Requirements
1,Accounting,Cost analyst, Cost analysts study corporate expenses and create reports for management. One common industry for cost analysts is manufacturing where they are needed to audit production costs. Similar job titles are cost specialist and cost accountant. , The primary duty of a cost analyst is to gather financial data (e.g. inventory purchases  labor costs) and analyze it to uncover inefficiencies. They may estimate production costs and track the changes in regular costs (e.g. due to new products and new processes).,Collecting and analyzing financial data Estimating costs and comparing budgets with actual expenses Monitoring costs after significant changes in products or processes,We are looking for a cost analyst to help us audit our expenses and find ways to make our operations more cost-efficient. You’ll be the go-to person for cost analysis and you’ll get to prepare reports to help management make better decisions. To do this job well  we’d like you to be well-versed in data and financial analysis  and have strong attention to detail. Ultimately  your job will be an integral part of our efforts to ensure profitability and business success. ,Gather and analyze financial data Determine standard costs and investigate variances with actual costs Prepare detailed reports  both periodically and ad-hoc Help management make important decisions based on costs and benefits (e.g. investments  market growth  pricing changes) Create and manage budgets  and monitor spending Conduct audits on financial processes and transactions Monitor changes in processes or methods to calculate effects on overall costs Estimate product costs for existing and new products Forecast and analyze costs of processes  labor and inventory Suggest cost-reducing or profitable solutions Conduct market research to support future business planning,Proven experience as a cost analyst  cost specialist or similar role Experience in data  operational and financial analysis Knowledge of accounting processes and software Strong analytical skills A business acumen Great attention to detail Good communication aptitude Degree in Finance  Accounting or similar field; Certified Public Accountant (CPA) preferred
2,Accounting,Payroll Accountant, Payroll accountants are in charge of payroll operations in organizations. They usually report to the Director of Finance.  , Payroll accountants prepare employee salary statements and process paychecks. They maintain payroll files and create reports. Payroll accountants ensure all payroll procedures are in line with governmental laws and policies.,Calculating net salaries  deductions  and withholdings Updating payroll files and general ledger Resolving payroll issues (e.g. late payments),We are looking for an experienced payroll accountant to overview daily payroll operations in our company.  Your primary responsibility will be to issue employee payments  considering deductions and withholdings. You’ll prepare payroll schedules and records and you’ll contribute to various accounting tasks  such as updating payroll files. To succeed in this role  you must have strong mathematical skills and knowledge of national and regional laws on payroll and taxes. If you meet these criteria and you have a degree in Finance or similar field  we’d like to hear from you. ,Oversee employee paychecks Calculate net salaries considering deductions and withholdings Ensure payroll and tax documents are accurate Update general ledger and payroll files Prepare accounting files  records  and schedules Monitor paid and unpaid leaves Process overtime earnings or holiday deductions Resolve payroll problems (e.g. overlooked bank holidays  late payments  etc.) Answer employee questions concerning payroll Participate in payroll audits Ensure compliance with governmental laws on payroll accounting and taxes,Previous experience as a payroll accountant or in a similar role Understanding local and governmental rules about payroll  Excellent knowledge of MS Office  especially Excel Great computational ability Attention to detail A valid national certification (e.g. Fundamental Payroll Certification) Degree in Accounting  Finance  or relevant field
3,Accounting,Tax Preparer, A tax preparer calculates and prepares tax payments for individuals and businesses. , Tax preparers obtain the client’s financial information in order to estimate tax payments and returns. They fill in tax reports and advise clients on tax management strategies.,Calculating tax credits  deductibles  and liabilities Reviewing if tax reports are in compliance with government tax rules and regulations Answering clients’ financial questions,We are looking for an experienced tax preparer to join our company. You’ll work closely with our clients and calculate their taxes including returns  liabilities  deductions  and expenses. You’ll review the accuracy of data on tax forms based on all tax rules and regulations. To succeed in this role  it’s important to have advanced mathematical skills and the ability to analyze complex data. If you have relevant experience and want to join our team  we’d like to hear from you. ,Calculate tax payments Estimate tax returns  deductibles  liabilities  and expenses Prepare quarterly and annual reports Collect data from income statements and expense documents Complete clients’ tax documentation Review data on reports and detect possible errors Answer tax- and finance-related questions Research new tax trends and regulations Advise individuals and companies on tax strategies Ensure compliance with government tax rules,Experience as a Tax Preparer or a similar role Good knowledge of tax preparation software Advanced MS Office skills (particularly in using Excel) Comprehensive understanding of government tax laws Excellent computational ability Effective verbal and written communication skills A degree in Finance or Accounting
4,Accounting,Mortgage Loan Officer, Mortgage loan officers help clients find appropriate mortgage loan products. They usually work for banks and other lending institutions. , Mortgage loan officers gather clients’ financial information (e.g. taxes  debts) to review if they are eligible for granting mortgage loans. They complete mortgage loan applications based on national and local financial standards and review their progress.,Analyzing complex financial data Resolving problems throughout application processes Building positive relationships with clients,We are looking for an experienced mortgage loan officer to join our team. You’ll work closely with our clients and find the best mortgage loans for them. You’ll estimate creditworthiness by combining information from client interviews and financial documents. Submitting applications and reporting on their progress will also be part of your mortgage loan officer duties. To succeed in this role  it’s important to be client-oriented and have strong analytical skills. A degree in Finance or Business is a plus. If you’re also reliable  honest and possess good judgment  we’d like to meet you. ,Collect financial information (e.g. taxes  debts) Evaluate creditworthiness and eligibility for obtaining a mortgage loan Interview clients  Guide clients through mortgage loan options Prepare and submit mortgage loan applications Ensure data are in line with national and local financial rules Monitor and report on application processes Inform clients about loan approval or rejection Help resolve problems with applications Research new mortgage loan policies  Ensure compliance with privacy laws and confidentiality policies throughout the process Build a supportive referral network (e.g. with clients  lenders  real estate agents),Experience as a mortgage loan officer or in a similar role Previous experience in sales or customer support is an asset Working knowledge of mortgage loan computer software (e.g. Calyx Point) Ability to handle confidential information  Great mathematical and analytical skills Attention to detail  Reliability and honesty A valid license is a must Degree in Finance or Business is a plus
5,Accounting,Staff Accountant, A Staff Accountant handles a company’s accounting procedures and maintains a healthy financial profile ensuring compliance with state  federal  and local principles. When hiring accounting staff for your company  make sure they’re familiar with all financial laws and regulations that apply in your region and are specific to your industry. , Staff Accountants prepare and review financial documents  reports  and statements. They oversee all accounting procedures (e.g. tax returns  month-end closures  budgeting) and advise on general financial matters.,Managing financial reports  records  and accounts Conducting billing processes (e.g. tax  revenue) Maintaining the general ledger,We are looking for a Staff Accountant to manage general accounting and financial processes of our company. You’ll be responsible for all daily accounting tasks  including preparing tax documents and updating expense files. You will perform financial transactions and post them in the general ledger  with strong attention to detail. You will also carry out relevant administrative duties (e.g. responding to clients via email and handling invoices). Ultimately  you will ensure the company’s finances run smoothly. ,Maintain and update accounting records and files Analyze budgets and create expense reports Examine tax policies and handle tax payments and returns Meet with clients to discuss confidential accounting issues Post transactions and categorize records in the  general ledger (e.g. by assets  liabilities and expenses) Reconcile bank statements Analyze transactions with internal and external stakeholders Conduct month-end and year-end closures Prepare documents for audits Advise clients on financial issues via email or phone Apply new accounting policies and ensure compliance with rules and regulations Report to the Accounting Manager and work to improve financial processes,Similar experience as a Staff Accountant or relevant role in accounting Excellent use of Microsoft Office Word and Excel; very good with spreadsheets Knowledge of an accounting information system is a plus Good math skills Attention to detail Strong organizational and communication skills Confidentiality and integrity Degree in Accounting; MSc is a plus
6,Accounting,Night Auditor,,,Checking in guests and handling their overnight requests Handling end-of-day bookkeeping  auditing and account reconciliation Complete all EOD tasks and ensure other departments have done the same,We’re looking for a Night Auditor to assist guests with their overnight requests and balance accounts from the day shift. Night Auditor responsibilities include checking in guests  handling their requests and taking reservations. The Night Auditor also reconciles all accounts  processes invoices and prepares paychecks. Ultimately  you will provide excellent customer service to guests and keep the front desk and accounting operations running smoothly. ,Check in guests  answer phones and take reservations Respond to guest complaints  requests and emergencies Process invoices  post checks to vendors and distribute employee checks Reconcile accounts Balance the cash drawer and log receipts Investigate and resolve out-of-balance accounts Keep accurate financial records and ledgers Help prepare for forecasts and audits,Proven experience as a Night Auditor or in a similar role  preferably in the hospitality industry Experience with accounting and facilities management software Excellent math skills An eye for detail Good problem-solving skills Strong customer service skills The ability to multitask Strong written and verbal communication skills Availability to work overnight BSc in accounting  finance or relevant field
7,Accounting,Accounts Administrator,,,Managing obligations to suppliers  customers and third-party vendors Processing bank deposits Reconciling financial statements,We are looking for an Accounts Administrator to manage our company’s accounts payable and receivable. Accounts Administrator responsibilities include reviewing and reconciling accounts  processing payments to external partners and maintaining updated records of invoices and receipts. To be successful in this role  you should have a Finance or Accounting background and be familiar with bookkeeping. Ultimately  you will ensure we process all financial transactions accurately and on time. ,Manage obligations to suppliers  customers and third-party vendors Process bank deposits Reconcile financial statements Prepare  send and store invoices Contact clients and send reminders to ensure timely payments Submit tax forms Identify and address discrepancies Report on the status of accounts payable and receivable Update internal accounting databases and spreadsheets,Proven work experience as an Accounts Administrator or similar role Good knowledge of bookkeeping procedures and debt collection regulations Hands-on experience with accounting software Advanced knowledge of Excel (using financial formulas and creating spreadsheets) Solid data entry skills with an ability to identify numerical errors Good organizational and time-management abilities BSc degree in Finance  Accounting or relevant field
8,Accounting,Credit Manager,,,Researching and evaluating clients’ creditworthiness Creating credit scoring models to predict risks Approving or rejecting loan requests  based on credibility and potential revenues and losses,We are looking for a Credit Manager to oversee our company’s lending process  from evaluating clients’ creditworthiness to approving or rejecting loan requests. Credit Manager responsibilities include creating credit scoring models  setting loan terms and determining interest rates. To be successful in this role  you should have a degree in Accounting or Finance along with experience processing loan applications. Previous banking experience is a plus. Ultimately  you will help us minimize bad debts and increase revenues from loans. ,Research and evaluate clients’ creditworthiness Create credit scoring models to predict risks Approve or reject loan requests  based on credibility and potential revenues and losses Calculate and set interest rates Negotiate loan terms with clients Monitor payments Maintain records of loan applications Follow up with clients to manage debt settlements and loan renewals Ensure all lending procedures comply with regulations Develop  review and update our company’s credit policies,Proven work experience as a Credit Manager  Credit Analyst or similar role Hands-on experience with accounting software Solid understanding of lending procedures Excellent analytical skills  with the ability to create and process financial spreadsheets (e.g. in Excel) Negotiation skills BSc in Accounting  Economics  Banking and Finance or relevant field
9,Accounting,Credit Officer,,,Reviewing loan requests Assessing clients’ financial status Evaluating creditworthiness and risks,We are looking for a Credit Officer to facilitate lending for our clients by assessing creditworthiness and processing relevant paperwork. Credit Officer responsibilities include preparing loan applications  evaluating clients’ financial information and calculating risk ratios. To be successful in this role  you should have a good understanding of lending procedures and customer service experience. Ultimately  you will help our clients acquire loans in a timely manner  while ensuring we comply with the law. ,Review loan requests Assess clients’ financial status Evaluate creditworthiness and risks Contact clients to gather financial data and documentation Analyze risks and approve or reject loan requests Calculate financial ratios (e.g. credit scores and interest rates) Set up payment plans Maintain updated records of loan applications Follow up with clients about loan renewals Monitor progress of existing loans,Proven work experience as a Credit Officer  Loan Officer or similar role Hands-on experience with lending procedures and products Ability to create and process financial spreadsheets Strong analytical skills Customer service experience BSc in Banking and Finance  Economics or related field
10,Accounting,Accounting Assistant,,,Reconciling invoices and identifying discrepancies Creating and updating expense reports Processing reimbursement forms,We are looking for an Accounting Assistant to perform daily accounting tasks that will support our financial team. Accounting Assistant responsibilities include managing expense reports and reimbursements  entering financial transactions into our internal databases and reconciling invoices. If you have an Accounting degree and are interested in gaining experience in bookkeeping procedures  we’d like to meet you. Ultimately  you will help our Accounting department run smoothly  ensuring transparency and efficiency in all transactions. ,Reconcile invoices and identify discrepancies Create and update expense reports Process reimbursement forms Prepare bank deposits Enter financial transactions into internal databases Check spreadsheets for accuracy Maintain digital and physical financial records Issue invoices to customers and external partners  as needed Review and file payroll documents Participate in quarterly and annual audits,Work experience as an Accounting Assistant or Accounting Clerk Knowledge of basic bookkeeping procedures Familiarity with finance regulations Good math skills and the ability to spot numerical errors Hands-on experience with MS Excel and accounting software (e.g. QuickBooks) Organization skills Ability to handle sensitive  confidential information BSc/Ba in Accounting  Finance or relevant field
